Country Name,Country Code,Region,IncomeGroup,SpecialNotes,TableName,year,co2_emissions
Bulgaria,BGR,Europe & Central Asia,Upper middle income,Eurostat & Republic of Bulgaria National Statistical institute ; Source of population estimates: Eurostat,Bulgaria,1960,2.83390112126359
Bahrain,BHR,Middle East & North Africa,High income,"Central Bank of Bahrain & Cetral Informatic Organization - Information & eGovernment Authority and Haver Analytics, Inc. (Haver's source: Central Informatics Organization) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Bahrain,1960,3.54447844262346
Bahamas,BHS,Latin America & Caribbean,High income,Department of Statistics of Bahamas ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,"Bahamas, The",1960,3.7497626177781003
Belize,BLZ,Latin America & Caribbean,Upper middle income,Central Bank of Belize ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Belize,1960,0.477971845672576
Bermuda,BMU,North America,High income,Source of population estimates: Bermuda Government Department of Statistics,Bermuda,1960,3.5513738738738705
Bolivia,BOL,Latin America & Caribbean,Lower middle income,National Institute of Statistics (INE) and Central Bank of Bolivia ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Bolivia,1960,0.272037870294134
Brazil,BRA,Latin America & Caribbean,Upper middle income,Brazilian Statistics Institute (IBGE) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Brazil,1960,0.649630979052413
Barbados,BRB,Latin America & Caribbean,High income,Barbados Statistical Office ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Barbados,1960,0.746296641104361
Brunei Darussalam,BRN,East Asia & Pacific,High income,Economic Planning and Development - Prime Minister's office ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Brunei Darussalam,1960,4.082170163312741
Central African Republic,CAF,Sub-Saharan Africa,Low income,"IMF, Authorities and Bank staff estimates ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Central African Republic,1960,0.0585351058990042
Canada,CAN,North America,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Statistics Canada. Fiscal year end: March 31; reporting period for national accounts data: CY.,Canada,1960,10.7708472869716
Switzerland,CHE,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,Switzerland,1960,3.6643659788502903
Chile,CHL,Latin America & Caribbean,High income,"Central Bank of Chile ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Before 1996, for current series, components of value added and missed series of expenditure side have been calculated using structural ratios of the files and previous base years.",Chile,1960,1.74828931041744
China,CHN,East Asia & Pacific,Upper middle income,"NBS - National Bureau of Statistics and Bank's country office ; Source of population estimates: National Bureau of Statistics. On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. The new base year is 2015.",China,1960,1.17038137226978
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,"MPMEF / Direction Générale de l'Economie / Direction de la Conjoncture et de la Prévision Economiques, Institut National de la Statistique (INS). ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Côte d'Ivoire,1960,0.129823983671763
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,"National Institute of Statistics, World Bank staff estimates ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Cameroon,1960,0.0524234834826945
Congo-Dem. Rep.,COD,Sub-Saharan Africa,Low income,Authorities ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,"Congo, Dem. Rep.",1960,0.152228016183627
Congo-Rep.,COG,Sub-Saharan Africa,Lower middle income,Government Authorities  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,"Congo, Rep.",1960,0.21566012996278502
Colombia,COL,Latin America & Caribbean,Upper middle income,Administrative Department of National Statistics (DANE) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Colombia,1960,0.99571866746058
Comoros,COM,Sub-Saharan Africa,Low income,Authorities and IMF Figures ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Base year change from 1990 to 2007 -  national data revised.,Comoros,1960,0.0575603936773039
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,Institute of National Statistics Cabo Verde. ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Cabo Verde,1960,0.10875389254114999
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,Central Bank of Costa Rica ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. National accounts are revised from 1991 to 2015 using SNA 2008 based on official government data. The new reference year is 2012. The country uses chain linked methedology.,Costa Rica,1960,0.36861459521094603
Cuba,CUB,Latin America & Caribbean,Upper middle income,National Office of Statistics ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Cuba,1960,1.91845021834764
Cayman Islands,CYM,Latin America & Caribbean,High income,Statistical office of Cayman Island ; Source of population estimates: United Nations World Population Prospects,Cayman Islands,1960,1.3987285441830901
Cyprus,CYP,Europe & Central Asia,High income,"Statistical Service of Republic of Cyprus ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Cyprus,1960,1.54890475276212
Djibouti,DJI,Middle East & North Africa,Lower middle income,Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Djibouti,1960,0.48229231431440994
Dominica,DMA,Latin America & Caribbean,Upper middle income,Eastern Caribbean Central Bank ; Source of population estimates: United Nations World Population Prospects,Dominica,1960,0.18331639199480101
Denmark,DNK,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,Denmark,1960,6.50268309283578
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,Central Bank of the Dominican Republic ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Dominican Republic,1960,0.316155045989092
Algeria,DZA,Middle East & North Africa,Upper middle income,Office National des Statistiques (ONS) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Algeria,1960,0.553763777217353
Ecuador,ECU,Latin America & Caribbean,Upper middle income,Central Bank of Ecuador ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Ecuador,1960,0.38803379129038296
Egypt,EGY,Middle East & North Africa,Lower middle income,"Ministry of Planning, Monitoring and Administrative Reform and the Central Bank of Egypt ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.","Egypt, Arab Rep.",1960,0.594673619757026
Spain,ESP,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Spain,1960,1.60659271055656
Ethiopia,ETH,Sub-Saharan Africa,Low income,Ministry of Finance and Economic Cooperation ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: July 7; reporting period for national accounts data: FY.,Ethiopia,1960,0.0158921756117187
Finland,FIN,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 5.94573 Finnish markka. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Finland,1960,3.4098467277432
Fiji,FJI,East Asia & Pacific,Upper middle income,Fiji Bureau of Statistics - Under Review ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Fiji,1960,0.494046559867408
France,FRA,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Réunion, as well as Mayotte. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 6.55957 French franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",France,1960,5.79350794502963
Faroe Islands,FRO,Europe & Central Asia,High income,Statistics Faroe Islands ; Source of population estimates: United Nations World Population Prospects,Faroe Islands,1960,1.69273823605782
Gabon,GAB,Sub-Saharan Africa,Upper middle income,"“Direction Générale de l'Economie et de la Politique Fiscale - Ministère de l'Economie», IMF Article IV ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Gabon,1960,0.264455591525369
United Kingdom,GBR,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,United Kingdom,1960,11.1507591603053
Ghana,GHA,Sub-Saharan Africa,Lower middle income,Bureau of Statistics ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Ghana,1960,0.21994435898511303
Guinea,GIN,Sub-Saharan Africa,Low income,Guinean authorities ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Guinea,1960,0.11480487693747099
Gambia,GMB,Sub-Saharan Africa,Low income,Authorities National accounts and IMF ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,"Gambia, The",1960,0.049833119523385
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,Ministry of Finance ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Guinea-Bissau,1960,0.0297448609608231
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,National Statistical Agency (INEGE) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Equatorial Guinea,1960,0.0861732002208967
Greece,GRC,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 340.75 Greek drachma. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Greece,1960,1.12892048165296
Grenada,GRD,Latin America & Caribbean,Upper middle income,Eastern Caribbean Central Bank ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Grenada,1960,0.244823020173809
Greenland,GRL,Europe & Central Asia,High income,Source of population estimates: Statistics Greenland,Greenland,1960,6.882676923076921
Guatemala,GTM,Latin America & Caribbean,Upper middle income,Central Bank of Guatemala ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Guatemala,1960,0.31960813603856997
Guyana,GUY,Latin America & Caribbean,Upper middle income,Ministry of Finance ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Guyana,1960,1.1543163133788799
Hong Kong SAR-China,HKG,East Asia & Pacific,High income,"Census and Statistics Department ; Source of population estimates: Census and Statistics Department. On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.","Hong Kong SAR, China",1960,0.9609823107973879
Honduras,HND,Latin America & Caribbean,Lower middle income,Central Bank of Honduras ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Honduras,1960,0.302190139784572
Haiti,HTI,Latin America & Caribbean,Low income,Haiti National Insitute of Statistics and Informatics ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: September 30; reporting period for national accounts data: FY.,Haiti,1960,0.073981954699742
Hungary,HUN,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,Hungary,1960,4.54446524112109
Indonesia,IDN,East Asia & Pacific,Lower middle income,BPS (Badan Pusat Statistik) and Bank's country Office ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: March 31; reporting period for national accounts data: CY. Data for Indonesia include Timor-Leste through 1999 unless otherwise noted. Statistics Indonesia revised national accounts based on SNA2008. The base year is 2010. Price valuation is in basic prices.,Indonesia,1960,0.243805283400299
India,IND,South Asia,Lower middle income,Central Statistics Office ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: March 31; reporting period for national accounts data: FY. Based on official government statistics; the new base year is 2011/12. India reports using SNA 2008.,India,1960,0.268269551241686
Ireland,IRL,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 0.787564 Irish pound. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Ireland,1960,3.95272679063848
Iran,IRN,Middle East & North Africa,Upper middle income,"Central Bank of Iran, Economic Research & Policy Department ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: March 20; reporting period for national accounts data: FY. Based on data from the Central Bank of Iran, the new base year is 2011/12.","Iran, Islamic Rep.",1960,1.70687746232318
Iraq,IRQ,Middle East & North Africa,Upper middle income,Iraqi Authorities ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Iraq,1960,1.13383936729887
Iceland,ISL,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,Iceland,1960,6.913193297413059
Israel,ISR,Middle East & North Africa,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Central Bureau of Statistics,Israel,1960,3.05985184624554
Italy,ITA,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1936.27 Italian lira. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Italy,1960,2.1784447715823
Jamaica,JAM,Latin America & Caribbean,Upper middle income,Statistical Institute of Jamaica ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Jamaica,1960,0.9030954667950658
Jordan,JOR,Middle East & North Africa,Upper middle income,"Department of Statistics, Jordan and Central Bank of Jordan ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Jordan,1960,0.7984933339197241
Japan,JPN,East Asia & Pacific,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report. Fiscal year end: March 31; reporting period for national accounts data: CY.",Japan,1960,2.5165375193571804
Kenya,KEN,Sub-Saharan Africa,Lower middle income,Statistics Bureau of Kenya ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: June 30; reporting period for national accounts data: CY.,Kenya,1960,0.29949688110701
Cambodia,KHM,East Asia & Pacific,Lower middle income,"National Institute of Statistics, Ministry of Planning  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Cambodia,1960,0.0410123777385943
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,Eastern Caribbean Central Bank ; Source of population estimates: United Nations World Population Prospects,St. Kitts and Nevis,1960,0.21488426604160604
Korea-Rep.,KOR,East Asia & Pacific,High income,Korean Statistical Information Service.  Central Bank of Korea: http://ecos.bok.or.kr/flex/EasySearch_e.jsp; Korean Statistical Information Service ; Source of population estimates: Korean Statistical Information Service. The new base year is 2010. GDP data are available from 1970 onward while components are revised from 2000 onward only. Historical data in constant prices are linked to preserve growth rates.,"Korea, Rep.",1960,0.5018372506344261
Kuwait,KWT,Middle East & North Africa,High income,Central Statistical Bureau ; Source of population estimates: United Nations World Population Prospects. Fiscal year end: June 30; reporting period for national accounts data: CY.,Kuwait,1960,28.9423406449124
Lao PDR,LAO,East Asia & Pacific,Lower middle income,Lao Statistics Bureau  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Lao PDR,1960,0.0380376972751139
Lebanon,LBN,Middle East & North Africa,Upper middle income,Central Administration of Statistics ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Lebanon,1960,1.43029021688424
Liberia,LBR,Sub-Saharan Africa,Low income,IMF and authoriies ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. National accounts local currency data have been revised to be reported in U.S. dollars instead of Liberian dollars. Pre-2000 data will be revised further for consistency and quality purpose.,Liberia,1960,0.14729365811161702
Libya,LBY,Middle East & North Africa,Upper middle income,No official data available - Staff estimates ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Libya,1960,0.47849686934080393
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,Central Stastical Office ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,St. Lucia,1960,0.163164510495345
Sri Lanka,LKA,South Asia,Lower middle income,"Central Bank of Sri Lanka; Registrar General's Department, Department of Census and Statistics ; Source of population estimates: Department of Census and Statistics Sri Lanka, United Nations World Population Prospects",Sri Lanka,1960,0.22875855450023103
Luxembourg,LUX,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Luxembourg,1960,36.685183297767296
Macao SAR-China,MAC,East Asia & Pacific,High income,"DSEC ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","Macao SAR, China",1960,0.30595484993682803
Morocco,MAR,Middle East & North Africa,Lower middle income,"Haut Commissariat au Plan, Morocco ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Morocco,1960,0.295358036139258
Madagascar,MDG,Sub-Saharan Africa,Low income,"IMF, authorities and WB staff estimates ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Madagascar,1960,0.0783827737253188
Mexico,MEX,Latin America & Caribbean,Upper middle income,National Statistics Office (INEGI); Bank of Mexico ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Mexico,1960,1.65338237599345
Mali,MLI,Sub-Saharan Africa,Low income,IMF ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Mali,1960,0.0229895779288197
Malta,MLT,Middle East & North Africa,High income,"National Statistics Office ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries. National accounts data source from 1995 to 2015 is Eurostat; prior to 1995 is UN. The new reference year is 2010.",Malta,1960,1.04434542949012
Myanmar,MMR,East Asia & Pacific,Lower middle income,"Planning Department, Government of Myanmar, IMF BOP ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: March 31; reporting period for national accounts data: FY.",Myanmar,1960,0.12947827476280402
Mongolia,MNG,East Asia & Pacific,Lower middle income,National Statistical office of Mongolia ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Mongolia,1960,1.35472969790844
Mozambique,MOZ,Sub-Saharan Africa,Low income,National Statistics Institute and Bank of Mozambique ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Mozambique,1960,0.255097551056039
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,ONS – Office National des Statistique ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Mauritania,1960,0.0427305609158114
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,"Statistics Mauritius ; Source of population estimates: Statistics Mauritius, United Nations World Population Prospects",Mauritius,1960,0.272514942723982
New Caledonia,NCL,East Asia & Pacific,High income,Source of population estimates: Institute of Statistics and Economic Studies,New Caledonia,1960,10.908164556962
Niger,NER,Sub-Saharan Africa,Low income,Ministry of Economy and Planning  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Niger,1960,0.00865684361613851
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,"National Bureau of Statistics of Nigeria. 
 ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.",Nigeria,1960,0.0754720454770825
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,Central Bank of Nicaragua ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Nicaragua,1960,0.299608553337777
Netherlands,NLD,Europe & Central Asia,High income,"OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat. A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Netherlands,1960,6.3991796202037
Norway,NOR,Europe & Central Asia,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Eurostat,Norway,1960,3.65856369820612
Nepal,NPL,South Asia,Low income,"Central Bureau of Statistics, National Planning Commision Secretariat, and Nepal Rastra Bank  ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: July 14; reporting period for national accounts data: FY.",Nepal,1960,0.00801688480714172
New Zealand,NZL,East Asia & Pacific,High income,OECD (Organization for Economic Cooperation and Development) ; Source of population estimates: Statistics New Zealand. Fiscal year end: March 31; reporting period for national accounts data: CY.,New Zealand,1960,4.8670697360654405
Pakistan,PAK,South Asia,Lower middle income,Pakistan Bureau of Statistics and Pakistan Economic Survey website ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change. Fiscal year end: June 30; reporting period for national accounts data: FY.,Pakistan,1960,0.31518944618981604
Panama,PAN,Latin America & Caribbean,High income,National Institute of Statistics and Census (INEC) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Panama,1960,0.8804003103482059
Peru,PER,Latin America & Caribbean,Upper middle income,National Institute of Statistics and Informatics (INEI) ; Source of population estimates: UN Population Division's World Population Prospects 2019 PROVISIONAL estimates. Not for circulation. Subject to change.,Peru,1960,0.8123769631114199
